player_id,teams,unlisted_teams
9fd99cbf,"['Dhaka Division', 'Durdanto Dhaka']",['Dhaka Division']
9fe56f2b,"['Panadura Sports Club', 'Arunachal Pradesh', 'Delhi']",['Panadura Sports Club']
9ff100a6,"['Bengal', 'India', 'Kolkata Tigers', 'ICL India XI', 'Kolkata Knight Riders']","['Kolkata Tigers', 'ICL India XI']"
9ff1e91e,"['Pakistan', 'Amazons', 'Higher Education Commission']","['Amazons', 'Higher Education Commission']"
9ff33bef,"['Chittagong Division', 'Cumilla Warriors', 'Comilla Warriors']","['Chittagong Division', 'Comilla Warriors']"
9ffd1ac1,"['Sunrisers Eastern Cape', 'Lions', 'South Africa', 'Gauteng']",['Gauteng']
a0095f0e,"['Eastern Province', 'MI New York']",['Eastern Province']
a012b804,['Wales'],['Wales']
a025c156,['Brasilia Cricket Club'],['Brasilia Cricket Club']
a030bba8,"['Punjab', 'Chandigarh', 'D.A.V College (Chandigarh)']",['D.A.V College (Chandigarh)']
a03bba42,"['Titans', 'Dolphins', 'Lahore Qalandars', 'Oval Invincibles (Men)', 'Trent Rockets (Men)', 'KwaZulu-Natal', 'Northern Warriors', 'Jaffna Kings', 'South Africa', 'Easterns', 'KwaZulu-Natal Inland', 'Rajasthan Royals', 'Guyana Amazon Warriors', 'Deccan Gladiators', 'Paarl Royals', 'Karachi Kings', 'Royal Challengers Bangalore', 'St Kitts and Nevis Patriots', 'Galle Gladiators', 'Lions', 'Gauteng', 'Galle Titans']","['Oval Invincibles (Men)', 'Trent Rockets (Men)', 'KwaZulu-Natal', 'Northern Warriors', 'Easterns', 'Deccan Gladiators', 'Gauteng']"
a049c39b,"['Portugal', 'Hyderabad (Pakistan)']",['Hyderabad (Pakistan)']
a05d0552,"['Dubai Capitals', 'Southern Brave (Men)', 'Hampshire', 'England', 'Hampshire 2nd XI', 'Kent']","['Southern Brave (Men)', 'Hampshire 2nd XI']"
a082d97a,"['Andhra', 'South Zone']",['South Zone']
a089f93f,"['Khan Research Laboratories', 'Multan Sultans', 'Rawalpindi', 'Sui Gas Corporation of Pakistan', 'Islamabad', 'Hampshire', 'Sialkot', 'Southern Punjab', 'Pakistan', 'Pakistan Television', 'Leicestershire']","['Khan Research Laboratories', 'Rawalpindi', 'Sui Gas Corporation of Pakistan', 'Islamabad', 'Sialkot', 'Southern Punjab', 'Pakistan Television']"
a0936692,"['Titans', 'Northerns', 'North West']",['Northerns']
a09eb585,"['Victoria', 'Australian Capital Territory', 'Eastlake']","['Australian Capital Territory', 'Eastlake']"
a0a32602,['MMM College Of Commerce (Pune)'],['MMM College Of Commerce (Pune)']
a0d05c98,"['Railways', 'Bengaluru Blasters', 'Udaipur Mewar Royals']","['Bengaluru Blasters', 'Udaipur Mewar Royals']"
a0d66374,"['Mangalore United', 'Bengaluru Blasters', 'Railways']","['Mangalore United', 'Bengaluru Blasters']"
a0f612b6,"['South Australia', 'Hobart Hurricanes', 'Australia', 'National Performance Squad', 'Melbourne Renegades']",['National Performance Squad']
a0fdf513,"['Warriors', 'Colombo Cricket Club', 'Sri Lanka', 'Colts Cricket Club']","['Colombo Cricket Club', 'Colts Cricket Club']"
a1000a26,"['Scotland', 'Somerset 2nd XI', 'Surrey 2nd XI']","['Somerset 2nd XI', 'Surrey 2nd XI']"
a12e1d51,"['BCCSL Academy XI', 'Ruhuna Reds', 'St Lucia Zouks', 'Sri Lanka Schools XI', 'Montreal Tigers', 'Jamaica Tallawahs', 'Ruhuna Royals', 'Sri Lanka Emerging Team', 'Sri Lanka Masters', 'Southern Province', 'Kent', 'Sri Lanka Board XI', 'Basnahira', 'Rangpur Riders', 'Guyana Amazon Warriors', 'Khulna Titans', 'Melbourne Stars', 'Maratha Arabians', 'Sri Lanka', 'Sri Lanka Cricket XI', 'Palace Diamonds', 'Galle Gladiators', 'Mumbai Indians', 'Kandy', 'Galle Cricket Club', 'Nondescripts Cricket Club', 'Ruhuna', 'Southern Express']","['BCCSL Academy XI', 'Ruhuna Reds', 'Sri Lanka Schools XI', 'Montreal Tigers', 'Ruhuna Royals', 'Sri Lanka Emerging Team', 'Sri Lanka Masters', 'Southern Province', 'Sri Lanka Board XI', 'Basnahira', 'Maratha Arabians', 'Sri Lanka Cricket XI', 'Palace Diamonds', 'Kandy', 'Galle Cricket Club', 'Nondescripts Cricket Club', 'Ruhuna', 'Southern Express']"
a139c379,"['Emeralds', 'Falcons', 'Lancashire Thunder', 'Southern Brave', 'UP Warriorz', 'Hobart Hurricanes', 'Brisbane Heat', 'Amazons', 'England', 'Victoria', 'Staffordshire', 'Melbourne Renegades', 'Super', 'Southern Vipers', 'Velocity']","['Emeralds', 'Amazons', 'Staffordshire', 'Super']"
a15618fe,"['Multan Sultans', 'Sydney Sixers', 'Southern Brave (Men)', 'Delhi Bulls', 'Karachi Kings', 'Hampshire', 'Wiltshire', 'Team James Vince', 'England', 'Maratha Arabians', 'Paarl Rocks', 'Sydney Thunder', 'Quetta Gladiators', 'Hampshire 2nd XI', 'England Lions', 'England Performance Programme', 'Auckland', 'Gulf Giants']","['Southern Brave (Men)', 'Delhi Bulls', 'Wiltshire', 'Team James Vince', 'Maratha Arabians', 'Hampshire 2nd XI', 'England Lions', 'England Performance Programme']"
a156f06e,"['Gloucestershire', 'England Academy']",['England Academy']
a1a5192e,"['Marylebone Cricket Club Young Cricketers', 'New Zealand', 'Canterbury']",['Marylebone Cricket Club Young Cricketers']
a1b3f327,"['Yorkshire 2nd XI', 'Yorkshire', 'Mountaineers', 'Derbyshire', 'Leeds/Bradford MCCU']","['Yorkshire 2nd XI', 'Mountaineers', 'Leeds/Bradford MCCU']"
a1c4aed5,"['Sri Lanka', 'Asia XI', 'Kurunegala Youth Cricket Club', 'Slimline Sport Club']","['Kurunegala Youth Cricket Club', 'Slimline Sport Club']"
a1dcb5b9,"['Southern Rocks', 'Zimbabwe Select XI', 'Mountaineers', 'Northerns (Zimbabwe)', 'Rising Stars', 'Southerns']","['Southern Rocks', 'Zimbabwe Select XI', 'Mountaineers', 'Northerns (Zimbabwe)', 'Rising Stars', 'Southerns']"
a1f1829d,"['Punjab', 'India Red', 'Kings XI Punjab']",['India Red']
a2198010,"['Karandeniya Central College', 'Richmond College', 'Galle Cricket Club', 'Sri Lanka', 'Dambulla Aura', 'Sri Lanka Cricket Development XI', 'Tamil Union Cricket and Athletic Club']","['Karandeniya Central College', 'Richmond College', 'Galle Cricket Club', 'Sri Lanka Cricket Development XI', 'Tamil Union Cricket and Athletic Club']"
a21ea40c,"['Matabeleland Tuskers', 'Matabeleland', 'Westerns', 'Zimbabwe', 'Zimbabwe Cricket Academy']","['Matabeleland Tuskers', 'Matabeleland', 'Westerns', 'Zimbabwe Cricket Academy']"
a22b4f3f,"['Vanuatu', 'East Asia-Pacific']",['East Asia-Pacific']
a2316f90,"['Sunrisers Eastern Cape', 'Cape Cobras', 'South African Schools', 'South Africa Emerging Players', 'Boland', 'Western Province', 'Eastern Province', 'Rondebosch Boys High School']","['South African Schools', 'South Africa Emerging Players', 'Eastern Province', 'Rondebosch Boys High School']"
